internalTaxonId,scientificName,name,genusName,speciesName,speciesAuthor,infraType,infrarankAuthor
171698,Albinaria proteus,"Clausilia proteus O. Boettger, 1889",Clausilia,proteus,"O. Boettger, 1889",,
85596905,Hohenwartiana disparata,"Hohenwarthia disparata (Westerlund, 1891)",Hohenwarthia,disparata,"(Westerlund, 1891)",,
85596905,Hohenwartiana disparata,"Cionella disparata Westerlund, 1891",Cionella,disparata,"Westerlund, 1891",,
48342396,Ophioblennius clippertonensis,"Ophioblennius steindachneri ssp. clippertonensis Springer, 1962",Ophioblennius,steindachneri,,subspecies,"Springer, 1962"
85736948,Roeseliana oporina,"Platycleis oporina Bolívar, 1887",Platycleis,oporina,"Bolívar, 1887",,
85736948,Roeseliana oporina,"Metrioptera oporina (Bolívar, 1887)",Metrioptera,oporina,"(Bolívar, 1887)",,
6735,Atlantica guerinianus,"Discus guerinianus (Lowe, 1852)",Discus,guerinianus,"(Lowe, 1852)",,
6735,Atlantica guerinianus,"Helix semiplicata L. Pfeiffer, 1852 [n. nom. pro H. gueriana Lowe 1852 in error]",Helix,semiplicata,"L. Pfeiffer, 1852 [n. nom. pro H. gueriana Lowe 1852 in error]",,
6735,Atlantica guerinianus,"Helix gueriniana Lowe, 1852",Helix,gueriniana,"Lowe, 1852",,
1172,Amphorella iridescens,"Lovea iridescens Wollaston, 1878",Lovea,iridescens,"Wollaston, 1878",,
1170,Amphorella melampoides,"Achatina tornatellina maxima Paiva, 1867",Achatina,tornatellina maxima,"Paiva, 1867",,
1170,Amphorella melampoides,"Lovea melampoides R. Lowe, 1831",Lovea,melampoides,"R. Lowe, 1831",,
1170,Amphorella melampoides,"Ferussacia melampoides R. Lowe, 1831",Ferussacia,melampoides,"R. Lowe, 1831",,
1170,Amphorella melampoides,"Helix melampoides R. Lowe, 1831",Helix,melampoides,"R. Lowe, 1831",,
1170,Amphorella melampoides,"Glandina melampoides R. Lowe, 1831",Glandina,melampoides,"R. Lowe, 1831",,
78591115,Acrobolbus madeirensis,Tylimanthus madeirensis Grolle & Perss.,Tylimanthus,madeirensis,Grolle & Perss.,,
97121661,Sorbus semipinnata,Sorbus dacica Borbás,Sorbus,dacica,Borbás,,
11205,Lampedusa melitensis,"Clausilia melitensis Caruana Gatto, 1892",Clausilia,melitensis,"Caruana Gatto, 1892",,
170694,Deroceras planarioides,"Agriolimax rivanus Wagner, 1931",Agriolimax,rivanus,"Wagner, 1931",,
170833,Lampedusa imitatrix,"Clausilia emersoniana Pilsbry, 1913",Clausilia,emersoniana,"Pilsbry, 1913",,
170833,Lampedusa imitatrix,"Delima filfolensis Despott, undated",Delima,filfolensis,"Despott, undated",,
170833,Lampedusa imitatrix,"Delima gattoi Soòs, 1933",Delima,gattoi,"Soòs, 1933",,
170833,Lampedusa imitatrix,"Clausilia imitatrix O. Boettger, 1879",Clausilia,imitatrix,"O. Boettger, 1879",,
51207347,Betula celtiberica,Betula pubescens Ehrh. subsp. celtiberica (Rothm. & Vasc.) Ricas Mart.,Betula,pubescens,Ehrh.,subspecies (plantae),(Rothm. & Vasc.) Ricas Mart.
86105256,Sorbus pontis-satanae,Sorbus pontis-satani M.Lepší & P.Lepší,Sorbus,pontis-satani,M.Lepší & P.Lepší,,
86105340,Sorbus richii,Sorbus subeminens P.D.Sell,Sorbus,subeminens,P.D.Sell,,
19891838,Cytisus cantabricus,Sarothamnus cantabricus Willk.,Sarothamnus,cantabricus,Willk.,,
19892994,Echinospartum boissieri,Genista webbii Spach,Genista,webbii,Spach,,
19892994,Echinospartum boissieri,Genista boissieri Spach,Genista,boissieri,Spach,,
83751963,Teline tribracteolata,Genista tribracteolata (Webb) Pau,Genista,tribracteolata,(Webb) Pau,,
83751963,Teline tribracteolata,Cytisus tribracteolatus Webb,Cytisus,tribracteolatus,Webb,,
83774146,Sorbus margittaiana,Normeyera margittaiana (Jáv.) Sennikov & Kurtto,Normeyera,margittaiana,(Jáv.) Sennikov & Kurtto,,
83774146,Sorbus margittaiana,Sorbus hostii (J.Jacq. ex Host) Heynh. subsp. margittaiana Jáv.,Sorbus,hostii,(J.Jacq. ex Host) Heynh.,subspecies (plantae),Jáv.
83826221,Salix crataegifolia,Salix glabra var. crataegifolia (Bertol.) Anderson,Salix,glabra,,variety,(Bertol.) Anderson
84388387,Cytisus commutatus,Cytisus ingramii Blakelock,Cytisus,ingramii,Blakelock,,
84388387,Cytisus commutatus,Sarothamnus commutatus Willk.,Sarothamnus,commutatus,Willk.,,
84388409,Cotoneaster nebrodensis,Pyrus nebrodensis Guss.,Pyrus,nebrodensis,Guss.,,
86107331,Cotoneaster delphinensis,Cotoneaster tomentosus subsp. delphinensis (Chatenier) Rouy,Cotoneaster,tomentosus,,subspecies (plantae),(Chatenier) Rouy
86124273,Malva canariensis,Malva acerifolia (Cav.) Alef.,Malva,acerifolia,(Cav.) Alef.,,
86124273,Malva canariensis,Lavatera acerifolia Cav.,Lavatera,acerifolia,Cav.,,
19892669,Genista tenera,Cytisus tener Jacq.,Cytisus,tener,Jacq.,,
14029,Muticaria macrostoma,Clausilia pseudosyracusia Caruana Gatto 1892,Clausilia,pseudosyracusia,Caruana Gatto 1892,,
14029,Muticaria macrostoma,Clasuilia scabrida Monterosato 1892,Clasuilia,scabrida,Monterosato 1892,,
14029,Muticaria macrostoma,Clausilia mamotica Gulia 1861,Clausilia,mamotica,Gulia 1861,,
14029,Muticaria macrostoma,Clausilia oscitans Charpentier 1852,Clausilia,oscitans,Charpentier 1852,,
14029,Muticaria macrostoma,Clausilia distans Monterosato 1892,Clausilia,distans,Monterosato 1892,,
14029,Muticaria macrostoma,Clasuilia  densa Monterosato 1892,Clasuilia ,densa,Monterosato 1892,,
14029,Muticaria macrostoma,Clausilia doliolina Monterosato 1892,Clausilia,doliolina,Monterosato 1892,,
14029,Muticaria macrostoma,Clausilia intrusa A. Schmidt 1868,Clausilia,intrusa,A. Schmidt 1868,,
14029,Muticaria macrostoma,Clausilia torcula Monterosato 1892,Clausilia,torcula,Monterosato 1892,,
14029,Muticaria macrostoma,Clausilia scalaris L.Pfeiffer 1850,Clausilia,scalaris,L.Pfeiffer 1850,,
14029,Muticaria macrostoma,Clausilia delicatae Gulia 1861,Clausilia,delicatae,Gulia 1861,,
86163048,Sorbus meinichii,Sorbus aucuparia subsp. meinichii Lindeb.,Sorbus,aucuparia,,subspecies (plantae),Lindeb.
19432,Retinella stabilei,"Hyalinia mixta Pollonera, 1889",Hyalinia,mixta,"Pollonera, 1889",,
19432,Retinella stabilei,"Hyalinia stabilei Pollonera, 1886",Hyalinia,stabilei,"Pollonera, 1886",,
19432,Retinella stabilei,"Retinella pura Alder, 1830 ssp. mixta Alzona, 1971",Retinella,pura,"Alder, 1830",subspecies,"Alzona, 1971"
86803401,Xestoleptura nigroflava,"Xestoleptura nigroflava (Fuss, 1852)",Xestoleptura,nigroflava,"(Fuss, 1852)",,
86803401,Xestoleptura nigroflava,"Anoplodera nigroflava (Fuss, 1852)",Anoplodera,nigroflava,"(Fuss, 1852)",,
86803401,Xestoleptura nigroflava,"Leptura nigroflava (Fuss, 1852)",Leptura,nigroflava,"(Fuss, 1852)",,
86803401,Xestoleptura nigroflava,"Grammoptera nigroflava Fuss, 1852",Grammoptera,nigroflava,"Fuss, 1852",,
86806645,Neopiciella sicula,"Leptura sicula Ganglbauer, 1886",Leptura,sicula,"Ganglbauer, 1886",,
86807153,Paracorymbia picticornis,"Leptura picticornis Reitter, 1885",Leptura,picticornis,"Reitter, 1885",,
86849373,Schurmannia sicula,"Alocerus siculus (Sama, 1979)",Alocerus,siculus,"(Sama, 1979)",,
86860058,Nacerdochroa concolor,"Alloxantha hierrensis Franz, 1985",Alloxantha,hierrensis,"Franz, 1985",,
